Year,0,1,2,3
1383,ADDRESS,COL1,COL3,COL4
1384,Address,DYCOL01,DYCOL02,DYCOL03
1385,ADDRESS,DYCOL01,DYCOL02,DYCOL03
1386,Address,DYCOL01,DYCOL02,DYCOL03
1387,Address,DYCOL01,DYCOL02,DYCOL03
1388,Address,DYCOL01,DYCOL02,DYCOL03
1389,Address,DYCOL01,DYCOL02,DYCOL03
1390,Address,DYCOL01,DYCOL02,DYCOL03
1391,Address,DYCOL01,DYCOL02,DYCOL03
1392,Address,DYCOL01,DYCOL02,DYCOL03
1393,Address,DYCOL01,DYCOL02,DYCOL03
1394,Address,DYCOL01,DYCOL02,DYCOL03
1395,Address,DYCOL01,DYCOL02,DYCOL03
1396,Address,DYCOL01,DYCOL02,DYCOL03
1397,Address,DYCOL01,DYCOL02,DYCOL03
1398,Address,DYCOL01,DYCOL02,DYCOL03
1399,Address,DYCOL01,DYCOL02,DYCOL03
1400,Address,DYCOL01,DYCOL02,DYCOL03
1401,Address,DYCOL01,DYCOL02,DYCOL03
