Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1363,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13,COL14,COL15
1364,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13,COL14,COL15
1365,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13,COL14,COL15
1366,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13,,
1367,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13,,
1368,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13,,
1369,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1370,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1371,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1372,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1373,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1374,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1375,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1376,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1377,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1378,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1379,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1380,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1381,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1382,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1383,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,,,,,
1384,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1385,ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1386,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1387,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1388,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1389,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1390,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1391,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1392,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1393,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1394,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1395,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1396,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1397,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1398,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1399,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1400,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
1401,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,,,,,
