Year,0,1,2,3,4,5,6,7,8
1369,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1370,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1371,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1372,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1373,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1374,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1375,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1376,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1377,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,,
1378,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,TAX
1379,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,TAX
1380,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,TAX
1381,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,
1382,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,
1383,ADDRESS,COL01,COL03,COL04,COL05,COL06,COL07,COL08,
1384,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1385,ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1386,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1387,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1388,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1389,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1390,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1391,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1392,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1393,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1394,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1395,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1396,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1397,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1398,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1399,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1400,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
1401,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,
